926.000, 500.000
571.000, 435.000
571.000, 435.000
819.000, 193.000
819.000, 193.000
972.000, 345.000
972.000, 345.000
929.000, 505.000
573.083, 434.365
745.028, 266.579
833.184, 208.501
597.195, 438.780
621.308, 443.195
847.374, 222.598
861.564, 236.696
645.421, 447.610
669.533, 452.025
875.754, 250.793
889.944, 264.890
693.646, 456.440
717.759, 460.855
904.135, 278.988
918.325, 293.085
741.871, 465.270
765.984, 469.685
932.515, 307.182
946.705, 321.280
790.096, 474.100
814.209, 478.515
960.895, 335.377
967.870, 356.516
838.322, 482.930
862.434, 487.345
957.690, 394.393
947.511, 432.271
886.547, 491.760
910.659, 496.175
937.331, 470.148
